,time,n0,n0_bkg,n1,n1_bkg,n3,n3_bkg,b0,b0_bkg
0,-30.0,861.7579862920235,1073.759645091936,1113.0051138072638,1057.3391407445008,1314.179089504606,1229.9558207050843,1374.9774182540602,1398.197016389197
1,-29.9,972.8211814261219,1073.8192832112236,922.139363322896,1057.3893865172145,1354.632844327581,1230.0153882927,1364.9136892813935,1398.2692136661638
2,-29.8,962.3867190632632,1073.8789213304858,1223.4746680572653,1057.4396322899224,1153.0209147967512,1230.0749558803327,1434.6770471737661,1398.3414109431203
3,-29.7,1042.502004811533,1073.938559449769,1123.0547088079416,1057.4898780626288,1354.7415955845265,1230.1345234679443,1384.708007224544,1398.4136082200798
4,-29.6,932.330827067656,1073.9981975690562,1223.4746680572653,1057.5401238353431,1243.8809084342975,1230.1940910555631,1234.5183371138191,1398.4858054970375
5,-29.5,1173.779570216079,1074.0578356883152,992.282249173084,1057.5903696080532,1214.0062205277243,1230.2536586431968,1435.368277357296,1398.5580027739747
6,-29.4,902.2013713460716,1074.1174738076027,1093.1701935613123,1057.6406153807666,1375.198249382647,1230.3132262308025,1354.8503643041897,1398.6302000509588
7,-29.3,1032.3744612608853,1074.1771119268858,1002.3253949161913,1057.6908611534695,1173.402868318106,1230.3727938184404,1344.5715432470206,1398.7023973279072
8,-29.2,1183.5506519558508,1074.236750046149,1123.5053366503332,1057.7411069261793,1284.1091492776702,1230.4323614060436,1344.787443298122,1398.774594604874
9,-29.1,1224.3587170326186,1074.296388165438,1052.4627628650894,1057.7913526988882,1324.3438478208334,1230.4919289936734,1526.104417670661,1398.8467918818255
10,-29.0,1032.705688904916,1074.3560262847125,1113.0051138072638,1057.841598471598,1153.1134061967148,1230.5514965812895,1485.5858026178219,1398.9189891587905
11,-28.9,972.0412867020606,1074.4156644039856,1062.6779484300287,1057.8918442443069,1415.3500230872498,1230.6110641689215,1626.7020122906142,1398.991186435739
12,-28.8,1142.788403705024,1074.4753025232721,1103.044402551025,1057.9420900170164,1374.425650594896,1230.6706317565424,1586.2816754346989,1399.0633837127118
13,-28.7,1062.9336970037152,1074.5349406425448,1103.3099297893523,1057.9923357897308,1163.4437936291258,1230.730199344145,1173.9680118801382,1399.1355809896604
14,-28.6,992.680236638911,1074.5945787618116,1002.7274185785193,1058.042581562432,1304.2256912395978,1230.7897669317742,1214.0062205277243,1399.2077782666183
15,-28.5,962.3095429029535,1074.6542168811031,1103.5755848950444,1058.092827335151,1203.5625451335784,1230.8493345194033,1567.0202507232177,1399.2799755435756
16,-28.4,1053.3073851894799,1074.7138550003763,962.3095429029535,1058.1430731078513,1364.5850056188601,1230.9089021070158,1334.6177775101662,1399.3521728205394
17,-28.3,1092.9071329736946,1074.7734931196499,1143.797407392527,1058.1933188805622,1294.0633589470754,1230.9684696946506,1415.691078134079,1399.4243700974955
