,time,n6,n6_bkg,n7,n7_bkg,n9,n9_bkg,b1,b1_bkg
0,-30.0,962.3095429029535,1138.4573356778492,1183.170898006641,1267.5733819292705,1182.9811124032394,1149.5908140325455,1786.646324326469,1679.0311855037771
1,-29.95,821.610356298333,1138.457335677849,1122.8745588706931,1267.5733819292764,1283.2852101379349,1149.590814032557,1970.879253479177,1679.0311855037496
2,-29.9,1283.2852101379349,1138.4573356778521,1223.3765191929551,1267.5733819292766,1263.1832217187132,1149.590814032552,1807.0837683719926,1679.0311855037553
3,-29.85,901.7674642298778,1138.4573356778467,1364.1470069009595,1267.5733819292811,1022.2489476848922,1149.5908140325566,1666.8674940755675,1679.0311855037476
4,-29.8,1142.6051397185422,1138.4573356778558,1364.5850056188601,1267.5733819292743,942.0725596311752,1149.5908140325546,1846.7962100529685,1679.0311855037633
5,-29.75,1062.7631842791106,1138.457335677842,1505.721742621942,1267.5733819292539,1162.6974581027819,1149.590814032555,1485.1087741831689,1679.031185503766
6,-29.7,1343.6008502787279,1138.4573356778533,1283.2852101379349,1267.5733819292886,921.8436873747364,1149.59081403255,1727.0463491043213,1679.0311855037653
7,-29.65,1384.041400890581,1138.4573356778487,1343.8164386858489,1267.5733819292798,1002.0040080160179,1149.5908140325616,1505.4799470070845,1679.0311855037692
8,-29.6,1022.4128944308422,1138.4573356778455,1344.2478231210434,1267.5733819292766,1183.3607445144041,1149.5908140325494,1424.5014245014042,1679.0311855037558
9,-29.55,901.7674642298778,1138.4573356778528,1142.6051397185422,1267.573381929266,1042.3348300192283,1149.5908140325469,1364.3659711075247,1679.0311855037544
10,-29.5,1344.0320962888475,1138.457335677859,1445.318773084932,1267.5733819292707,1162.883952201443,1149.5908140325605,1645.661074094863,1679.0311855037637
11,-29.45,1243.4817488968936,1138.4573356778558,1385.152768298049,1267.5733819292823,1323.4940242239325,1149.5908140325494,1787.5075316328325,1679.0311855037587
