,time,n6,n6_bkg,n7,n7_bkg,n9,n9_bkg,b1,b1_bkg
0,-30.0,1163.2571199358038,1050.9961919830669,1204.2389210019096,1082.7119334220672,1002.1646756994966,1128.5084355303957,1646.45410007226,1616.6332848238333
1,-29.95,761.5230460921736,1050.9961919830696,1183.930649757177,1082.711933422093,1102.602141052869,1128.5084355303943,1404.6071113251264,1616.6332848238299
2,-29.9,902.0566892514806,1050.9961919830753,1023.5619957451787,1082.7119334220843,1163.070506136183,1128.5084355303793,1384.7080072245437,1616.633284823827
3,-29.85,982.0820138693892,1050.9961919830703,861.7579862920235,1082.7119334220906,1163.070506136183,1128.5084355303882,1746.9177944660607,1616.633284823822
4,-29.8,841.683366733455,1050.996191983075,1163.2571199358038,1082.7119334220888,1162.6974581027819,1128.508435530387,1384.2635316775472,1616.6332848238367
5,-29.75,1022.9050503429595,1050.9961919830703,1042.83651532166,1082.711933422086,1042.3348300192283,1128.5084355303838,1706.3476131207851,1616.633284823831
6,-29.7,1123.0547088079416,1050.9961919830666,1102.7790030877654,1082.7119334220836,1243.082845456715,1128.5084355303886,1525.6142604785393,1616.6332848238321
7,-29.65,1062.5927262520397,1050.9961919830791,1103.3099297893523,1082.7119334220813,1022.4128944308422,1128.5084355303818,1646.1896731711,1616.6332848238196
8,-29.6,921.9915016435369,1050.9961919830619,982.0820138693892,1082.7119334220856,982.0820138693892,1128.50843553039,1646.45410007226,1616.6332848238321
9,-29.55,1022.7409457345541,1050.9961919830778,942.6772032572372,1082.7119334220815,942.0725596311752,1128.5084355303857,1787.2203702959703,1616.6332848238333
10,-29.5,761.1569585770262,1050.9961919830725,1063.1042644521854,1082.7119334220872,1102.7790030877654,1128.5084355303834,1424.9588568217193,1616.6332848238446
11,-29.45,922.139363322896,1050.9961919830719,1002.6469880484336,1082.7119334220918,1022.2489476848922,1128.5084355303875,1363.7092892667863,1616.633284823827
12,-29.4,1344.8954193263287,1050.9961919830746,1143.3385485617841,1082.7119334220847,1142.788403705024,1128.508435530388,1605.9097478721467,1616.6332848238242
13,-29.35,1384.4857337774192,1050.9961919830666,1043.5061807673635,1082.7119334220843,901.6229212582521,1128.5084355303834,1726.214371738233,1616.633284823836
14,-29.3,1163.630527244988,1050.9961919830746,1102.9559218705976,1082.7119334220813,861.4817486075929,1128.5084355303952,1907.5539134974226,1616.6332848238303
15,-29.25,1023.2334175996002,1050.9961919830748,942.8284854563556,1082.711933422085,1383.8193413821953,1128.5084355303757,1445.318773084932,1616.6332848238253
16,-29.2,721.3850593138724,1050.9961919830666,962.4639076034512,1082.711933422081,1122.5144323283996,1128.5084355303948,1666.5997349503798,1616.6332848238299
17,-29.15,1062.9336970037152,1050.9961919830705,841.9533317296007,1082.71193342209,1202.8869286286917,1128.5084355303845,1445.0867052022916,1616.6332848238287
18,-29.1,861.8961715774582,1050.996191983074,801.796023091714,1082.7119334220858,1102.4253357386092,1128.5084355303875,1646.45410007226,1616.6332848238264
