,tau_n1,n1,n1_bckg,tau_n2,n2,n2_bckg,tau_n5,n5,n5_bckg,tau_b0,b0,b0_bckg
0,-30.0,1182.9811124032394,1333.3444982107967,-30.0,1143.1551080983352,1037.849801975054,-30.0,1434.4467850335839,1305.56524011284,-30.0,1706.2106066080291,1861.455289275289
1,-29.9,1313.7573460095687,1333.7732824695995,-29.9,921.9175885842421,1037.0976318895143,-29.9,1344.3557125085085,1305.8693051245873,-29.9,1858.5119848907734,1863.2131080572292
2,-29.8,1163.070506136183,1333.4532282106293,-29.8,1072.8107642021944,1037.6141501822362,-29.8,1333.5472356468015,1305.230368429063,-29.8,2029.334940727317,1863.2505445271636
3,-29.7,1223.1802686985989,1333.3739046466758,-29.7,1022.2489476848922,1037.1324247367704,-29.7,1354.089349836487,1305.8220717443292,-29.7,1918.4026034028773,1862.8388260805636
4,-29.6,1374.315350199607,1334.0703341502606,-29.6,952.2663940177488,1037.2745791944137,-29.6,1193.2216985861658,1305.523301806729,-29.6,1827.2358539817417,1862.053323182127
5,-29.5,1243.1825473211245,1333.2687420871948,-29.5,1012.1254634732795,1036.9385689843798,-29.5,1142.6967643638825,1305.1984233406895,-29.5,1817.743587683506,1862.6143290641426
6,-29.4,1223.5728326713831,1333.7242697816498,-29.4,1132.9229411882495,1037.3926031993535,-29.4,1293.6480876070334,1305.9204833600138,-29.4,2120.9867111637986,1864.3368569412828
7,-29.3,1172.932330827051,1333.1368578649729,-29.3,1102.602141052869,1037.1188630935799,-29.3,1393.9868022544279,1306.0927116531714,-29.3,1776.8586744834809,1861.866396312098
8,-29.2,1525.1244180446083,1334.2613546784764,-29.2,982.2395060738345,1036.9907337431996,-29.2,1474.8078736681373,1306.73661312308,-29.2,1706.7587647082203,1862.0533231821298
9,-29.1,1404.6071113251264,1334.128398480191,-29.1,1022.3309144850114,1036.9457635046324,-29.1,1323.8125802310465,1306.3581949979282,-29.1,1696.4124390194695,1861.7168818356718
10,-29.0,1565.5105973024827,1334.4238500919305,-29.0,881.7635270540957,1036.6098792158618,-29.0,1333.7612066026004,1306.3990266490928,-29.0,1767.2102176881426,1862.2776849770346
11,-28.9,1273.7448097406193,1333.6217468818697,-28.9,992.4414058583975,1037.0429173276373,-28.9,1112.6481024838959,1305.9420879263805,-28.9,1949.1218904472655,1863.400305451847
12,-28.8,1324.2375601925976,1333.943739719576,-28.8,1062.5927262520397,1036.9771482864087,-28.8,1273.2340143965491,1306.2707040741964,-28.8,1898.6960278073307,1863.2131080572315
13,-28.7,1525.3692999357522,1334.3462393213115,-28.7,1022.5768937722917,1037.0153349823365,-28.7,1193.1259900940295,1306.4944891417301,-28.7,1917.7862120207772,1862.240287589947
14,-28.6,1454.8008427811571,1334.0258466593023,-28.6,1002.3253949161913,1036.7624775797437,-28.6,1092.4689798945462,1306.1419177742048,-28.6,1757.1339638933823,1862.2402875899456
15,-28.5,1263.791374122349,1333.5985779054756,-28.5,851.7887563884036,1036.4889477155502,-28.5,1303.3888109083432,1306.7059022112423,-28.5,1867.5448813205082,1862.2028917048124
16,-28.4,1474.9262536872945,1334.0276553470471,-28.4,992.282249173084,1036.6517522490933,-28.4,1313.5465757545187,1306.9555430226658,-28.4,2090.368226402929,1863.9246583276283
17,-28.3,1515.6686005660956,1334.5373936368242,-28.3,1072.5526753673591,1036.6899074923413,-28.3,1484.8703748294192,1307.8346231771184,-28.3,1897.7809016969304,1862.3150838661863
18,-28.2,1253.4344102841608,1333.1733395413985,-28.2,1122.9646266142456,1036.9151738650996,-28.2,1424.3871123058818,1307.6906417117277,-28.2,1656.393679603245,1861.86639631209
19,-28.1,1414.441345825873,1333.6824282221019,-28.1,1163.1638055510823,1036.9533632477078,-28.1,1303.4933622107062,1307.2843719397622,-28.1,1696.548677896657,1861.8663963121046
