,tau_n0,n0,n0_bckg,tau_n1,n1,n1_bckg,tau_n3,n3,n3_bckg,tau_b0,b0,b0_bckg
0,-30.0,972.1971655942292,1188.2532909981733,-30.0,1022.2489476848922,1170.5542275471632,-30.0,1233.3299909756167,1264.2013871475758,-30.0,1434.5619068638066,1498.9193995992987
1,-29.9,1384.5968615804272,1189.4720543815179,-29.9,1032.4572482508222,1170.722001120296,-29.9,1304.6445345429543,1265.2343267094764,-29.9,1394.6581582485303,1499.1493518917102
2,-29.8,1093.1701935613123,1188.9260613393062,-29.8,1253.5349686114666,1171.1950528149741,-29.8,1404.7198587252972,1264.922362443087,-29.8,1304.5397984987571,1499.3492857185001
3,-29.7,1173.779570216079,1189.2627704828212,-29.7,1203.5625451335784,1171.3159033898023,-29.7,1313.7573460095687,1264.2301339538378,-29.7,1566.3908747690355,1500.2418942806378
4,-29.6,1263.3858741426845,1188.5738909901781,-29.6,1173.591189038441,1171.389711969401,-29.6,1394.6581582485303,1264.7810987444095,-29.6,1455.3849242195918,1499.6590028101748
5,-29.5,1113.4517002708237,1189.0296735507745,-29.5,1163.070506136183,1170.8526873095695,-29.5,1052.884904638695,1263.9623624617896,-29.5,1496.0139761842395,1500.1301448297954
6,-29.4,1173.591189038441,1188.9369973751845,-29.4,1314.390062809766,1171.631186816549,-29.4,1123.325042124673,1264.1835461814248,-29.4,1777.5724586739257,1500.4810279745336
7,-29.3,1052.7160072988158,1188.319884064567,-29.3,1253.7361336783438,1171.1642362312823,-29.3,1162.9772216875035,1263.6189662883107,-29.3,1576.083683016421,1499.867825750562
8,-29.2,1173.6853720682777,1188.9424667095855,-29.2,1102.9559218705976,1170.7679789066888,-29.2,1364.47547957298,1264.4741974778842,-29.2,1434.7922059679124,1499.0746022625328
9,-29.1,1244.0805843165406,1189.0644874835134,-29.1,1254.138657569963,1171.4521926801185,-29.1,1143.797407392527,1264.4674559368625,-29.1,1636.644777797836,1500.147649696529
10,-29.0,1274.0514837182059,1188.900227287792,-29.0,911.8784696474607,1169.9525081813094,-29.0,1092.9948057677882,1263.67467593746,-29.0,1535.1889386124885,1499.1134107147723
11,-28.9,952.113692397108,1187.7114125012292,-28.9,1203.3694344163487,1170.7765117105346,-28.9,1434.5619068638066,1264.1751490828099,-28.9,1455.268070414881,1499.463823575692
12,-28.8,1214.0062205277243,1188.9534080123672,-28.8,1153.2984335198503,1170.8026905731244,-28.8,1455.5017967918525,1264.8792619149874,-28.8,1616.6281755196073,1500.1758426369568
13,-28.7,1264.5016257877865,1189.2186487559384,-28.7,1193.4131616422799,1170.7583471322764,-28.7,1324.2375601925976,1264.0861214745757,-28.7,1465.2161695636257,1499.3521725642752
14,-28.6,1133.3774648452227,1188.4818749541803,-28.6,1183.170898006641,1170.5026347269531,-28.6,1514.817118436607,1264.0036865465183,-28.6,1465.451479503733,1499.5822820670357
15,-28.5,1103.044402551025,1188.1747298215803,-28.5,1203.5625451335784,1170.7868522238518,-28.5,1284.1091492776702,1263.9720556671894,-28.5,1475.1630707475956,1499.2405349980336
16,-28.4,1273.7448097406193,1188.3442683165792,-28.4,1193.2216985861658,1170.4370648045942,-28.4,1143.0634099386193,1263.2561431185045,-28.4,1465.2161695636257,1499.3201299358968
17,-28.3,1253.7361336783438,1188.34697876489,-28.3,1253.9373633208095,1170.9090268191073,-28.3,1274.0514837182059,1263.8329583001878,-28.3,1545.5019870739613,1499.3094490598028
18,-28.2,1223.4746680572653,1188.1351772720725,-28.2,1193.6046861521625,1170.7233710014964,-28.2,1254.138657569963,1263.9283671861065,-28.2,1394.5462206793952,1498.8475074431894
19,-28.1,1223.7692091642084,1188.3762407907025,-28.1,1314.390062809766,1171.0544484700195,-28.1,1062.7631842791106,1262.984679037072,-28.1,1274.2560150903837,1498.9571385595145
20,-28.0,1254.138657569963,1188.5935693483748,-28.0,1394.6581582485303,1171.0095650392616,-28.0,1233.8248570568587,1263.5615561803045,-28.0,1617.0178575015336,1500.4519402853518
21,-27.9,1214.0062205277243,1188.5485895153768,-27.9,992.6006136076379,1170.1192984667275,-27.9,1324.2375601925976,1263.6318148072885,-27.9,1404.832624227322,1499.0861925145778
22,-27.8,1082.7718960538825,1187.6218597313361,-27.8,1333.8682178316928,1170.4028734272042,-27.8,1253.6355430748995,1263.1952179066152,-27.8,1605.7808109192865,1499.3162315938455
23,-27.7,1032.9542491525615,1187.934208206341,-27.7,1203.272902294223,1170.146549318674,-27.7,1354.1980138428937,1263.3923078064852,-27.7,1355.067954148496,1499.516241049442
24,-27.6,1042.6692332370721,1187.531966806346,-27.6,1012.6937654159922,1170.031005253519,-27.6,1484.9895649381713,1263.665629118365,-27.6,1434.907383250697,1499.0240697743432
25,-27.5,951.9610397418546,1186.892051197243,-27.5,1002.3253949161913,1169.5870633502302,-27.5,1112.8265795119446,1262.570644039062,-27.5,1384.8191707140652,1499.1036452891085
26,-27.4,1223.5728326713831,1187.8708049226013,-27.4,1193.7962721454055,1170.5507980374146,-27.4,1203.272902294223,1262.7424571034664,-27.4,1515.5469016600543,1499.3637932345364
27,-27.3,1093.1701935613123,1187.8020166208687,-27.3,1374.425650594896,1170.5523768862745,-27.3,1334.4035316544407,1263.42125175797,-27.3,1344.4636192157773,1498.8416331210587
28,-27.2,1163.2571199358038,1187.6379456208679,-27.2,1012.5313283207876,1169.6620316855956,-27.2,1303.807116780982,1262.8838273719866,-27.2,1676.6731591734865,1499.8241361086102
29,-27.1,1133.7413464432466,1188.188750851377,-27.1,1223.9656487017764,1170.4848525870236,-27.1,1183.5506519558508,1262.9293204600465,-27.1,1414.7819630350384,1498.910510720924
30,-27.0,1243.7810945273454,1187.8339116654963,-27.0,1113.0051138072638,1169.8054882698168,-27.0,1284.0060990289521,1263.0255791135994,-27.0,1364.5850056188601,1498.8697527116024
