,tau_n6,n6,n6_bckg,tau_n7,n7,n7_bckg,tau_n9,n9,n9_bckg,tau_b1,b1,b1_bckg
0,0.0,1072.3806851209686,970.8827085446517,0.0,1404.832624227342,1022.1802041807204,0.0,1525.0020065815875,1210.6699481163184,0.0,1998.5939540022093,2002.6070049830887
1,0.1,1313.862756504122,971.6088882365257,0.1,1112.9158394994886,1021.3398145925712,0.1,1434.6770471737866,1210.6724685371819,0.1,2110.7224701483533,2004.177014093255
2,0.2,1263.385874142702,971.3806674673515,0.2,1233.428932432161,1021.5036845213078,0.2,1152.835976502195,1209.728333593645,0.2,1929.5706705258074,2003.9353140191977
3,0.3,1162.9772216875203,971.2888759744613,0.3,1042.6692332370872,1021.2783769232625,0.3,1414.6684057389389,1210.7746839533033,0.3,2140.4883931263194,2003.8144858422888
4,0.4,1313.8627565041224,971.6841369881402,0.4,1283.9030653185687,1021.7700853377656,0.4,1535.065716865657,1210.801498043054,0.4,1919.1736500472264,2003.5728731955367
5,0.5,1273.8470179943417,971.787192119023,0.5,1414.6684057389373,1022.036625141305,0.5,1464.5106929342362,1210.5611069120541,0.5,2201.4032689330716,2004.3784753640484
6,0.6,1212.9353034343114,971.2277751882074,0.6,1263.8927897925614,1021.8110824121684,0.6,1203.3694344163662,1210.2479987023853,0.6,2252.4334325476634,2005.063746743687
7,0.7,1253.434410284179,971.5644998753379,0.7,1193.0302969542643,1021.2578993426696,0.7,1373.9845552101096,1210.3961788278737,0.7,2241.611547817696,2004.3784753640484
8,0.8,1132.8320802005014,971.3558118487302,0.8,1223.6710130391175,1021.7290915529976,0.8,1515.1819221738347,1211.054562114959,0.8,2070.3517587939705,2004.015874232826
9,0.9,1193.221698586183,971.5756858443157,0.9,1203.2729022942406,1021.4422271361491,0.9,1464.7457763152618,1210.8626761866249,0.9,1999.3971666834125,2003.4118304648473
10,1.0,1243.182547321141,971.4643895030923,1.0,1334.1893545733592,1021.8725841927039,1.0,1494.5733945874363,1210.670859549254,1.0,2079.440660599118,2003.089822656523
11,1.1,1303.5979302875926,971.6842985032617,1.1,1203.3694344163648,1021.5241719598259,1.1,1233.1321556754144,1210.0665012354254,1.1,2049.674463467565,2003.4520887204235
12,1.2,1182.9811124032578,971.4755774680398,1.2,1253.5349686114862,1021.5446602201602,1.2,1595.328396845466,1211.0646137354172,1.2,2090.200176863095,2003.774213021206
13,1.3,1223.1802686986152,971.5785724746835,1.3,1273.6426178871561,1021.5856392064691,1.3,1182.981112403255,1210.095825007814,1.3,2020.0598982934998,2003.9755933163783
14,1.4,1344.1399510492336,972.0714574486183,1.4,1324.4501525124435,1022.0981540760347,1.4,1524.634890065802,1210.7538006861341,1.4,2291.9179734620056,2004.4187724785513
15,1.5,1082.598235765837,971.4339279602101,1.5,1193.4131616422958,1021.5856392064692,1.5,1413.9874445937533,1210.513482756676,1.5,1988.990235866113,2003.0495789585548
16,1.6,1022.4948875255614,971.4979507062558,1.6,1143.0634099386345,1021.4012596542123,1.6,1474.6895126502263,1210.977468688987,1.6,1646.189673171122,2001.5215157609236
17,1.7,1192.8389567169882,971.4645906056027,1.7,1213.5192056965216,1021.6266214806332,1.7,1484.9895649381945,1211.2229952057007,1.7,2130.396334110462,2003.774213021206
18,1.8,1323.600192523663,971.8208668111149,1.8,1304.2256912396153,1021.9751036140484,1.8,1323.9187996469539,1210.7638726079829,1.8,2059.4321994735874,2003.1703149039224
19,1.9,1172.9323308270693,971.6316022323981,1.9,1082.685058946188,1021.1964715277276,1.9,1504.7550258817885,1211.0336033348544,1.9,2090.0321543408386,2003.613137923696
20,2.0,1142.7884037050392,971.5982320865364,2.0,1193.2216985861817,1021.4217429843969,2.0,1474.45284759975,1210.890351613443,2.0,2039.750005024013,2003.5728731955378
21,2.1,1213.5192056965188,972.0715490659654,2.1,1444.7387430772922,1022.0161171425665,2.1,1514.9387001625287,1211.2087288107468,2.1,1726.3529789625807,2001.3608026152863
22,2.2,1313.7573460095862,972.0576355848739,2.2,1283.8000481425008,1021.6881010574693,2.2,1363.9281129653389,1210.7739429136686,2.2,2181.2114267334077,2004.2978859956809
23,2.3,1082.598235765837,971.6344826789594,2.3,1223.6710130391161,1021.7290915529973,2.3,1374.3153501996255,1211.1165455142466,2.3,2262.170477167157,2004.781519436229
24,2.4,1253.3338680891216,971.9128572943613,2.4,1273.5404424299597,1021.5036845213084,2.4,1373.9845552101142,1210.8518354874989,2.4,2119.9638300010124,2003.411830464847
25,2.5,1133.1047068968965,972.0159018384237,2.5,1203.5625451335943,1021.6881010574693,2.5,1414.3278432001914,1211.0729740684883,2.5,1746.6372214414762,2001.6018820133131
26,2.6,1183.0759975937426,971.9045392428466,2.6,1022.7409457345677,1021.4012596542119,2.6,1434.3316816786682,1211.0511909678166,2.6,2160.50003014651,2003.7339418189026
27,2.7,1263.3858741427014,972.0075769203896,2.7,1163.3504492939655,1021.6061299325446,2.7,1514.8171184366272,1211.272388168722,2.7,2120.6456411184126,2004.056156768641
