,name        ,time                   ,ra        ,dec      ,GBM-LAT Time Difference,flux_ratio,flux_ratio_error,flux_ene_ratio,flux_ene_ratio_error
1,GRB190731943,2019-07-31 22:38:23.004,22 41 14.4,-76 25 12,1.732,4.471796260876294,8.635807199913588,1.4311118594079295,1.4461587302328351
7,GRB150902733,2015-09-02 17:35:39.002,14 19 48.0,-69 22 48,0.34999999999999964,15.19248966582001,20.229885897829575,7.990990356866334,8.670937684838778
19,GRB091031500,2009-10-31 12:00:28.002,04 47 14.4,-57 43 48,1.3479999999999999,5.3625513461901875,7.7142983523167095,2.2588831074876876,2.282655796447272
47,GRB150118409,2015-01-18 09:48:17.001,16 00 55.2,-35 55 48,3.34,1.029882414036129,,1.029886427557389,
55,GRB180718763,2018-07-18 18:18:24.002,02 57 55.2,-30 19 48,0.53,0.22191431650131904,0.20340920084890377,0.24673763192984835,0.2092100043085245
85,GRB140206275,2014-02-06 06:36:12.001,21 00 57.6,-08 47 24,6.878,14.338528562503166,22.885947229890224,5.7722158352023225,7.486432223395296
153,GRB160821857,2016-08-21 20:34:30.003,11 25 09.6,+42 17 24,26.450000000000003,4.091682493063449,5.028878192625536,2.1201558916865486,1.8402047573334528
