,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,name,ra,dec,hardness,lle_t90,gbm_cat_t90,gbm-lle_t90_difference,time_in,time_out,detectors
0,0,0,0,0,0,0,0,0,0,2,25,GRB141222298,178.0,-57.31,inf,1.293,2.752,1.459,-20.0,50.0,"['n0', 'n1', 'n3', 'b0']"
1,1,1,1,1,1,1,1,1,1,16,85,GRB131014215,100.78,-20.76,1.2240583615203808,1.811,3.2,1.3890000000000002,-30.0,50.0,"['n9', 'na', 'nb', 'b1']"
2,2,2,2,2,2,2,2,2,2,18,100,GRB140619475,132.66,-9.65,1.3395588207795122,1.124,2.816,1.6919999999999995,-30.0,100.0,"['n6', 'n9', 'b1']"
3,3,3,3,3,3,3,3,3,3,21,121,GRB140102887,212.02,1.47,1.3197730120126758,2.872,3.648,0.7760000000000002,-30.0,50.0,"['n6', 'n7', 'n9', 'b1']"
4,4,4,4,4,4,4,4,4,4,24,131,GRB140402007,207.66,5.97,9.669259875889209,1.546,0.32,-1.226,-30.0,70.0,"['n0', 'n1', 'n3', 'b0']"
5,5,5,5,5,5,5,5,5,5,30,155,GRB081024891,323.01,20.84,1.916035816174541,1.32,0.64,-0.68,-30.0,100.0,"['n6', 'n7', 'n9', 'b1']"
6,6,6,6,6,6,6,6,6,6,31,168,GRB190515190,137.75,28.93,1.4549895516117428,1.645,1.264,-0.381,-30.0,100.0,"['n1', 'n2', 'n9', 'na', 'b0', 'b1']"
