,Unnamed: 0,name        ,time                   ,ra        ,dec      ,error_radius,lle_bbbd_sig,lle_t90 ,tl100      ,tl100_error,like_best_ts,like_lat_t0,like_lat_t1,like_lat_flux,like_lat_flux_error,like_lat_flux_ene,like_lat_flux_ene_error,like_gbm_t0,like_gbm_t1,like_gbm_flux,like_gbm_flux_error,like_gbm_flux_ene,like_gbm_flux_ene_error,Unnamed: 23,flux_ratio,flux_ene_ratio,flux_ratio_error,flux_ene_ratio_error,GBM-LAT Time Difference
15,,GRB100225115,2010-02-25 02:45:30.997,20 47 43.2,-60 30 36,0.34,10.0,6.992,1005.82001,17.665,46.563,6.62,1012.44,2.20804e-06,9.0178e-07,1.65446e-09,1.11908e-09,-0.256,12.736,0.000181642,7.13622e-05,4.57239e-08,1.90699e-08,,82.26390826253147,27.6367515684876,79.13482224045777,17.040694141616328,-6.876
16,,GRB200219317,2020-02-19 07:36:49.000,22 51 31.2,-60 12 00,0.29,7.3,0.213,1.0,0.505,30.3474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
17,,GRB140528837,2014-05-28 20:05:22.001,18 42 21.6,-59 27 36,0.36,0.0,0.0,1296.77002,313.435,35.8742,81.13,1377.90002,1.91321e-06,7.33264e-07,2.16737e-09,1.46048e-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-81.13
18,,GRB160422499,2016-04-22 11:59:00.004,02 48 12.0,-57 54 00,0.1,0.0,0.0,291.82001,256.82501,36.3122,769.62,1061.43994,4.11962e-06,0.0,4.56392e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,-769.62
19,,GRB091031500,2009-10-31 12:00:28.002,04 47 14.4,-57 43 48,0.23,17.0,16.617,408.12,27.99,165.946,0.06,408.17999,1.00543e-05,2.26075e-06,8.98475e-09,4.32006e-09,1.408,35.329,5.39167e-05,1.74401e-05,2.02955e-08,9.86121e-09,,5.3625513461901875,2.2588831074876876,7.7142983523167095,2.282655796447272,1.3479999999999999
20,,GRB141222298,2014-12-22 07:08:56.996,11 52 00.0,-57 18 36,0.08,8.2,1.293,406.34,12.39,38.9478,34.21,440.54999,7.71704e-06,2.79937e-06,6.82813e-09,4.35757e-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-34.21
21,,GRB150702998,2015-07-02 23:56:37.997,03 30 21.6,-56 52 48,0.54,0.0,0.0,1340.69995,24.205,32.2995,512.57001,1737.12,1.26692e-06,5.60818e-07,8.61306e-10,6.48e-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-512.57001
22,,GRB160829334,2016-08-29 08:01:36.998,13 26 52.8,-56 46 48,0.1,0.0,0.0,30.74,6.18,30.6957,0.95,31.69,1.17056e-05,7.63819e-06,1.21712e-07,1.40848e-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.95
23,,GRB120316008,2012-03-16 00:11:01.997,03 49 24.0,-56 24 36,0.31,5.8,0.398,530.03998,33.315,70.0461,15.0,545.03998,4.3979e-06,1.26803e-06,3.40587e-09,2.08203e-09,1.536,28.16,1.74842e-05,1.06202e-05,2.85828e-08,4.05682e-08,,3.9755792537347374,8.392216966590034,8.37535389541257,19.484925769561436,-13.464
24,,GRB140928437,2014-09-28 10:29:53.002,02 55 02.4,-55 55 12,0.1,0.0,0.0,878.03003,42.96,60.8239,1676.64001,2554.66992,1.13238e-06,6.52675e-07,1.43243e-09,1.57295e-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-1676.64001
