,Unnamed: 0,Unnamed: 0.1,SOURCE_NUMBER,NAME,RA,DEC,LII,BII,SEMI_MAJOR_AXIS,SEMI_MINOR_AXIS,POSITION_ANGLE,LIKELIHOOD,TIME_BIN,NUM_FLARES,PRED_NUMBER,PLAW_PHOTON_INDEX,PLAW_PHOTON_INDEX_ERROR,PHOTON_FLUX,PHOTON_FLUX_ERROR,FLUX,FLUX_ERROR,FERMI_NAME,GAMMA_NAME,FAVA_NAME,LMC_FLAG,CENA_FLAG,SOURCE_TYPE,ASSOC_NAME,ASSOC_PROB_BAY,ASSOC_RA,ASSOC_DEC,ASSOC_REDSHIFT,FLUX_1420_MHZ,LOG_FREQ_PEAK,LOW_CONFIDENCE_FLAG,CLASS,IMG_NUMBER,filename,filenumber,T0,T0_min,T0_max,norm,norm_min,norm_max,distance,dist_min,dist_max,std_error
10,26,133,27,b'1FLT J0402+1431',60.664,14.522,177.006,-27.667,46.14,39.78,43.7,34.191,100.5,1,160.97,4.095,0.585,1.6e-07,3.5e-08,3.8e-11,8.9e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'N',b'                       UNIDENTIFIED\n',27,./correct_unassociated/apjsac072af17_27_hr.csv,27.0,63477.870570728184,63477.84727711194,3.3587712707424516e+24,1000.0000000047763,1000.000000000001,96546921273786.64,0.05656854249478871,0.056568542494923775,1.8205632612327073e-07,8.638858409853187
11,28,106,29,b'1FLT J0409-5530',62.292,-55.503,265.67,-44.717,55.8,43.56,145.0,30.36,83.0,1,106.47,3.456,0.364,8.1e-08,1.9e-08,2.2e-11,4.9e-12,b'FL8Y J0406.0-5410 ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'N',b'                       UNIDENTIFIED\n',29,./correct_unassociated/apjsac072af17_29_hr.csv,29.0,15537858530110.873,18646850400.42786,9.999999942832324e+24,46694077.30814905,1322040.6038239086,84688531040754.39,0.0002617845972436938,0.0015557957910458003,1.9438497327285121e-07,7.055270923139487
12,30,103,31,b'1FLT J0457-6830',74.299,-68.509,279.662,-35.462,21.78,17.34,135.7,28.722,63.0,1,105.02,2.775,0.257,8.1e-08,2.2e-08,3e-11,6.9e-12,b'3FGL J0454.6-6825 ',b'                    ',b'               ',b'Y',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',0,,,,,,,,,,,,
17,32,102,33,b'1FLT J0512-7007',78.053,-70.129,281.146,-33.763,31.38,25.5,117.4,31.658,30.0,1,128.7,2.774,0.266,9.6e-08,2.7e-08,3.5e-11,8.2e-12,b'                  ',b'                    ',b'               ',b'Y',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'N',b'                       UNIDENTIFIED\n',32,./correct_unassociated/apjsac072af17_32_hr.csv,32.0,289106369771736.9,118170726462.19221,9.99999994251394e+24,250753437.51989162,4011591.261148266,96579854141488.92,0.00011296698592104958,0.000893134058373215,1.8202528368612012e-07,7.048733525031911
13,34,104,35,b'1FLT J0520-6726',80.041,-67.438,277.804,-33.608,39.72,26.04,41.6,41.219,35.5,1,151.21,2.733,0.229,1.1e-07,2.6e-08,4.2e-11,8.4e-12,b'                  ',b'                    ',b'               ',b'Y',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'N',b'                       UNIDENTIFIED\n',0,,,,,,,,,,,,
18,35,114,36,b'1FLT J0527-3747',81.798,-37.793,242.354,-32.152,69.36,53.28,105.2,32.649,37.5,1,136.27,4.066,0.487,1.2e-07,2.6e-08,2.7e-11,6.5e-12,b'2FGL J0531.8-3831 ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'N',b'                       UNIDENTIFIED\n',34,./correct_unassociated/apjsac072af17_34_hr.csv,34.0,39803258623227.9,61547077460.45674,9.502997071164957e+24,93228423.32704537,3019057.2650967534,99967249530296.28,0.00018526817325872216,0.0010295307290034343,1.7891473830774283e-07,7.146491237486007
19,45,134,46,b'1FLT J0734+1721',113.702,17.357,201.848,17.207,30.0,30.0,0.0,28.563,109.0,1,109.42,2.493,0.231,7.4e-08,2.2e-08,3.5e-11,8.8e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',44,./correct_unassociated/apjsac072af17_44_hr.csv,44.0,72649.26958101113,72649.2550934326,6.092505055161955e+24,1000.0000000093268,1000.000000000001,79325285414003.55,0.05656854249466001,0.056568542494923775,2.0084876584713702e-07,7.238800253434881
20,49,124,50,b'1FLT J0855-1233',133.753,-12.56,239.675,20.296,56.16,36.12,177.9,25.479,111.0,1,121.23,3.25,0.347,8.3e-08,2.1e-08,2.4e-11,5.7e-12,b'FL8Y J0850.1-1212 ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',48,./correct_unassociated/apjsac072af17_48_hr.csv,48.0,20088761154092.37,84631396051.41185,9.999999942610961e+24,58483969.321668126,3221538.431244851,92570323211554.23,0.0002339141902773036,0.0009966515140595394,1.85925560377073e-07,7.166365334549397
21,57,115,58,b'1FLT J1022-3140',155.738,-31.672,269.456,21.379,19.02,15.6,176.2,25.073,74.5,1,46.92,2.09,0.258,3.1e-08,1.5e-08,3e-11,1.3e-11,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',56,./correct_unassociated/apjsac072af17_56_hr.csv,56.0,23975099575323.758,234023403738.00647,9.99999994247083e+24,67716603.519321,5822769.812462293,97593808709219.42,0.00021738391485967337,0.0007413276150948984,1.8107723552560478e-07,7.306236214887358
22,62,126,63,b'1FLT J1113-0537',168.362,-5.628,263.411,49.574,29.28,25.98,113.7,25.125,83.0,1,105.26,3.035,0.283,8.5e-08,2.4e-08,2.7e-11,6.5e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',61,./correct_unassociated/apjsac072af17_61_hr.csv,61.0,66775.36439017352,66775.35868470265,1.0943322207360302e+24,1000.0000000025993,1000.000000000001,40069220544850.39,0.056568542494850285,0.056568542494923775,2.825982980674521e-07,7.308487626749145
23,63,141,64,b'1FLT J1117+8436',169.283,84.615,125.47,32.041,30.96,28.26,60.7,25.171,89.5,1,128.57,2.918,0.293,6.7e-08,1.9e-08,2.3e-11,5.4e-12,b'                  ',b'                    ',b'               ',b'N',b'N',b'unass',b'                        ',0.0,0.0,0.0,0.0,0.0,0.0,b'Y',b'                       UNIDENTIFIED\n',62,./correct_unassociated/apjsac072af17_62_hr.csv,62.0,81696.0146251538,81696.01235832403,6.09184709300139e+24,1000.0000000001329,1000.000000000001,63137554514364.984,0.05656854249492004,0.056568542494923775,2.2512882823375805e-07,6.419703254032056
