id , Source Name , SRCNumber , TBIN 1m , TSTART , TSTOP , Flares , RA (J2000.0) , Dec (J2000.0) , LII , BII , Conf 95 SemiMaj. , Conf 95 SemiMin. , Conf 95 PosAng. , TS , Power Law Index , Power Law Index Error , 0.1-300 GeV Flux (ph cm-2 s-1) , 0.1-300 GeV Flux Error (ph cm-2 s-1) , 0.1-300 GeV Energy Flux (MeV cm-2 s-1) , 0.1-100 GeV Energy Flux Error (MeV cm-2 s-1) , Gamma Assoc. , LMC , Cen A , Class , Association Name , Association R.A. , Association Dec. , Redshift , Radio Flux (mJy) , log10(Nu_Peak) (Hz) , Low Confidence
29 , "1FLT J1533-2130" , "99" , "98.5" , "498586000" , "501216000" , "3" , "15 34 01.11" , "-21 31 43.97" , "345.99" , "27.44" , 12.3116646 , 9.244529400000001 , 2.14431745311969 , 25.207 , 1.895 , "0.21707769" , "1.909e-8" , "9.516e-9" , "2.148e-5" , "1.018e-5" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "0"
30 , "1FLT J1544+2705" , "100" , "77.5" , "443356000" , "445986000" , "1" , "15 44 10.55" , "+27 05 45.03" , "43.1" , "51.75" , 81.08999999999999 , 46.8215562 , 2.3974458706620063 , 30.249 , 2.365 , "0.22369552" , "4.967e-8" , "1.779e-8" , "1.757e-5" , "4.865e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "0"
31 , "1FLT J1622+0044" , "104" , "30" , "318457417" , "321087417" , "1" , "16 22 51.03" , "+00 44 32.64" , "14.61" , "32.9" , 25.800696 , 15.096969 , 0.9404766888230638 , 27.397 , 2.302 , "0.25179157" , "5.574e-8" , "2.415e-8" , "2.189e-5" , "6.619e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "1"
32 , "1FLT J1701+2801" , "108" , "0.5" , "240846000" , "243476000" , "1" , "17 01 40.41" , "+28 01 13.72" , "49.46" , "35.18" , 18.311726999999998 , 14.837336400000002 , 0.9747581841913486 , 26.801 , 2.585 , "0.25219554" , "5.363e-8" , "1.800e-8" , "1.438e-5" , "3.549e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "1"
33 , "1FLT J1737+1854" , "112" , "42" , "350017417" , "352647417" , "1" , "17 37 04.9" , "+18 54 10.01" , "42.47" , "24.59" , 17.179023 , 14.0648022 , 1.746800739086686 , 28.341 , 2.36 , "0.2680228" , "5.390e-8" , "2.308e-8" , "1.920e-5" , "5.193e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "1"
34 , "1FLT J1815+2017" , "116" , "83.5" , "459136000" , "461766000" , "2" , "18 15 48.36" , "+20 17 14.04" , "47.58" , "16.7" , 25.424188800000003 , 17.860637999999998 , 2.0865603193809927 , 29.495 , 2.896 , "0.26623136" , "1.131e-7" , "3.235e-8" , "2.389e-5" , "5.387e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "0"
35 , "1FLT J1815+2017" , "116" , "84" , "460477417" , "463107417" , "2" , "18 16 07.96" , "+20 08 27.91" , "47.47" , "16.57" , 39.32334 , 30.290319000000004 , 2.0642637381867655 , 26.47 , 3.147 , "0.17888308" , "1.398e-7" , "3.879e-8" , "2.613e-5" , "6.488e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "0"
36 , "1FLT J1922-6615" , "121" , "90.5" , "477546000" , "480176000" , "1" , "19 22 25.8" , "-66 15 15.22" , "329.73" , "-27.76" , 20.6762088 , 14.7248748 , 1.688242150155473 , 27.443 , 2.466 , "0.23475784" , "5.831e-8" , "1.975e-8" , "1.788e-5" , "4.734e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "1"
37 , "1FLT J1933-5420" , "123" , "101" , "505187417" , "507817417" , "1" , "19 33 41.51" , "-54 20 34.8" , "343.28" , "-27.76" , 30 , 30 , 0 , 27.043 , 2.827 , "0.24786483" , "8.496e-8" , "2.244e-8" , "1.872e-5" , "4.330e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "1"
38 , "1FLT J1943-3034" , "126" , "40.5" , "346046000" , "348676000" , "1" , "19 43 38.35" , "-30 34 20.65" , "9.47" , "-23.89" , 47.6885784 , 27.9543648 , 2.586177572925189 , 27.874 , 3.01 , "0.16491683" , "1.014e-7" , "2.714e-8" , "2.013e-5" , "4.842e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "1"
39 , "1FLT J1944-5135" , "127" , "99" , "499927417" , "502557417" , "1" , "19 44 29.38" , "-51 35 57.37" , "346.64" , "-28.96" , 20.565903600000002 , 17.08464 , 1.85684514468833 , 25.782 , 2.593 , "0.20419939" , "6.003e-8" , "2.106e-8" , "1.597e-5" , "4.209e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "1"
40 , "1FLT J2013-1732" , "130" , "55.5" , "385496000" , "388126000" , "1" , "20 13 59.87" , "-17 32 43.05" , "25.58" , "-25.89" , 30 , 30 , 0 , 27.493 , 3.162 , "0.3348987" , "1.263e-7" , "3.225e-8" , "2.345e-5" , "5.355e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "1"
41 , "1FLT J2035+0955" , "132" , "73.5" , "432836000" , "435466000" , "1" , "20 35 36.71" , "+09 55 26.79" , "54.54" , "-17.84" , 30 , 30 , 0 , 30.477 , 2.838 , "0.23610504" , "1.152e-7" , "3.181e-8" , "2.520e-5" , "5.523e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "0"
42 , "1FLT J2113-2616" , "134" , "71.5" , "427576000" , "430206000" , "1" , "21 13 28.32" , "-26 16 08.39" , "20.84" , "-41.71" , 30 , 30 , 0 , 31.319 , 4.141 , "0.5783621" , "1.487e-7" , "3.376e-8" , "2.175e-5" , "5.182e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "0"
43 , "1FLT J2302+0457" , "141" , "47.5" , "364456000" , "367086000" , "1" , "23 02 06.53" , "+04 57 54.3" , "79.34" , "-48.44" , 32.989104000000005 , 27.436094399999998 , 1.565069726986178 , 27.763 , 2.791 , "0.2565491" , "8.262e-8" , "2.347e-8" , "1.865e-5" , "4.395e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "1"
44 , "1FLT J2341-4205" , "142" , "86.5" , "467026000" , "469656000" , "1" , "23 41 29.97" , "-42 05 54.72" , "342.07" , "-69.32" , 17.388490800000003 , 13.879248 , 1.9749484335781327 , 25.055 , 2.179 , "0.28560624" , "3.188e-8" , "1.490e-8" , "1.598e-5" , "6.874e-6" , "" , "0" , "0" , "unass" , "" , "" , "" , "" , "" , "" , "1"
