,time,n0,n0_bkg,n1,n1_bkg,n3,n3_bkg,b0,b0_bkg
0,-20.0,942.4503709644943,1143.7230662295249,1103.2214065069847,1201.7910235180657,1002.8883183568535,1156.5472227000148,2224.100799066047,1903.5041656845046
1,-19.9,1183.4556906165835,1143.72306622953,1113.094402438764,1201.7910235180707,1233.8248570568587,1156.5472227000098,2161.5426376852083,1903.5041656845058
2,-19.8,1254.3400164569232,1143.7230662295237,972.587081637141,1201.7910235180673,1234.8157815480197,1156.5472227000137,1970.5622134641396,1903.5041656845149
3,-19.7,1053.0538561829155,1143.723066229536,1113.0051138072638,1201.7910235180707,1103.044402551025,1156.5472227000157,1778.2868165651682,1903.504165684502
4,-19.6,1133.8323533543216,1143.7230662295262,1063.1042644521854,1201.791023518069,1143.8892233594058,1156.5472227000107,1830.1757773218837,1903.5041656845046
5,-19.5,1113.3623543100005,1143.7230662295249,1345.1114234089348,1201.791023518067,1203.465982028224,1156.5472227000175,1959.208278910853,1903.5041656845042
6,-19.4,1233.9238779318057,1143.7230662295265,1153.7612617131686,1201.7910235180716,1134.28760715503,1156.5472227000103,2060.7571523351603,1903.5041656845042
7,-19.3,1214.103670405955,1143.7230662295278,1143.522047907539,1201.7910235180673,1123.0547088079416,1156.5472227000118,2039.7500050239858,1903.5041656845053
8,-19.2,1033.0371291597148,1143.7230662295278,1263.791374122349,1201.7910235180673,1183.8356274328657,1156.5472227000166,1798.308183809173,1903.5041656845053
9,-19.1,1002.4057738572432,1143.723066229532,1113.2730226866831,1201.7910235180693,1093.3456376511972,1156.5472227000143,1687.5602700096192,1903.504165684506
10,-19.0,1194.0837664813491,1143.723066229528,1122.9646266142456,1201.7910235180693,1163.7239165328888,1156.547222700011,1697.366570917759,1903.504165684507
11,-18.9,1103.2214065069847,1143.7230662295267,1093.3456376511972,1201.791023518069,972.8992397343948,1156.547222700013,1980.496632150369,1903.504165684503
12,-18.8,1143.4302908726015,1143.7230662295299,1133.7413464432466,1201.791023518068,1224.457023565762,1156.5472227000112,2050.4985525892275,1903.5041656845126
13,-18.7,1204.9160575146427,1143.72306622953,992.3618211342855,1201.7910235180705,1143.0634099386193,1156.5472227000178,1839.0850802966393,1903.5041656845042
14,-18.6,1274.4606121424806,1143.7230662295278,1334.6177775101662,1201.7910235180634,1082.9456120648008,1156.547222700013,2020.2223249642907,1903.5041656845012
15,-18.5,1013.1000862639534,1143.7230662295283,1082.8587470923082,1201.791023518073,1203.948952564394,1156.5472227000137,2039.913981952259,1903.5041656845065
16,-18.4,1103.487018979961,1143.7230662295283,1274.2560150903837,1201.7910235180698,1264.5016257877865,1156.5472227000114,1738.5187418349667,1903.5041656845046
17,-18.3,992.6006136076379,1143.72306622953,1193.4131616422799,1201.7910235180696,1133.9233748770584,1156.5472227000125,1747.9005103065608,1903.5041656845065
18,-18.2,861.9652808403036,1143.7230662295278,1032.9542491525615,1201.791023518064,1304.854057092365,1156.5472227000157,1698.3217767058345,1903.5041656845046
19,-18.1,1244.5800546009136,1143.7230662295267,1153.2984335198503,1201.791023518067,992.839521030132,1156.547222700012,1909.5477386934401,1903.5041656845046
20,-18.0,1113.8986452583886,1143.7230662295315,1072.9828924409705,1201.791023518072,1113.4517002708237,1156.5472227000157,2010.777768840959,1903.5041656845076
21,-17.9,1123.5955056179614,1143.7230662295267,861.8961715774582,1201.7910235180645,1012.450129312923,1156.5472227000123,1828.5576498010428,1903.5041656845053
22,-17.8,1113.5410605726051,1143.723066229527,1173.402868318106,1201.791023518067,1022.9050503429595,1156.5472227000107,2020.3847777576457,1903.5041656844996
23,-17.7,1174.2507878520075,1143.7230662295303,1183.4556906165835,1201.7910235180739,1203.948952564394,1156.5472227000141,1939.6595043315435,1903.504165684507
24,-17.6,1163.8173208122475,1143.723066229528,1123.4151821537314,1201.7910235180673,1193.9879196516194,1156.5472227000146,1778.0010045203162,1903.5041656845058
25,-17.5,1043.422425555808,1143.7230662295308,1284.0060990289521,1201.7910235180702,1396.0028120919756,1156.5472227000125,1869.6473804832672,1903.5041656845099
26,-17.4,1214.4936264177284,1143.7230662295258,1405.3967234179047,1201.791023518069,1193.6046861521625,1156.547222700013,1919.1736500471984,1903.504165684507
27,-17.3,1032.9542491525615,1143.7230662295292,1203.5625451335784,1201.7910235180673,1083.2932113625266,1156.547222700012,2101.4740483037085,1903.504165684499
28,-17.2,1274.2560150903837,1143.7230662295285,1183.7406203603218,1201.7910235180675,1103.3099297893523,1156.5472227000155,1880.039410451786,1903.504165684511
29,-17.1,1013.0187960121017,1143.7230662295283,1294.5828231940886,1201.791023518069,1032.9542491525615,1156.5472227000143,1707.8561382358607,1903.5041656845056
30,-17.0,1163.630527244988,1143.7230662295278,1214.396113932418,1201.7910235180718,1022.8229914564051,1156.547222700012,2123.206343456268,1903.5041656845008
31,-16.9,1183.8356274328657,1143.7230662295296,1193.2216985861658,1201.7910235180673,1052.884904638695,1156.5472227000134,2090.368226402929,1903.5041656845076
32,-16.8,1103.3984672792044,1143.7230662295274,1385.152768298049,1201.7910235180675,1143.246820971543,1156.5472227000137,1919.0193911383228,1903.5041656845021
33,-16.7,1163.4437936291258,1143.7230662295308,1173.402868318106,1201.7910235180707,992.7598724453841,1156.5472227000137,1969.9284393342166,1903.5041656845087
34,-16.6,1203.852327447816,1143.7230662295271,1043.0875391157679,1201.7910235180673,1203.5625451335784,1156.5472227000123,1768.3465959327775,1903.5041656845035
35,-16.5,1053.1383522898088,1143.7230662295267,1123.4151821537314,1201.7910235180686,1093.784494350437,1156.5472227000137,1838.789413396007,1903.5041656845076
36,-16.4,1153.5760858661688,1143.7230662295296,1183.265813645645,1201.7910235180686,1274.358305404465,1156.5472227000134,1848.4288354898072,1903.5041656845121
37,-16.3,1324.9819320645438,1143.7230662295283,1505.4799470070845,1201.7910235180705,1063.0189738858207,1156.5472227000143,2273.001568974502,1903.5041656845046
38,-16.2,1063.1042644521854,1143.7230662295292,1184.0256873369287,1201.7910235180682,1103.6641650278768,1156.5472227000146,1889.8271009247821,1903.504165684503
39,-16.1,1133.8323533543216,1143.7230662295294,1133.286530939709,1201.791023518065,1123.0547088079416,1156.5472227000137,2181.913246324903,1903.5041656845078
40,-16.0,1315.234633842675,1143.7230662295262,972.3530944886488,1201.7910235180684,1294.790725685016,1156.5472227000118,1898.8486346373832,1903.5041656845046
41,-15.9,1163.537152944936,1143.7230662295306,1324.6628131021007,1201.7910235180707,1113.094402438764,1156.5472227000153,1829.43990993524,1903.5041656845008
42,-15.8,1163.8173208122475,1143.7230662295274,1163.1638055510823,1201.791023518067,972.8992397343948,1156.5472227000148,1606.8128866393279,1903.5041656845099
43,-15.7,1143.522047907539,1143.723066229527,1203.465982028224,1201.7910235180682,1173.8737834854853,1156.5472227000137,1606.94198939416,1903.504165684503
44,-15.6,1123.325042124673,1143.7230662295303,1183.8356274328657,1201.791023518069,1053.2228619575753,1156.5472227000112,1818.7664543097471,1903.5041656845046
45,-15.5,1113.8092275582333,1143.723066229525,982.7122859090952,1201.7910235180705,1143.4302908726015,1156.5472227000134,1879.1325843599627,1903.5041656845087
46,-15.4,1143.6138196701413,1143.7230662295303,1435.714142286279,1201.791023518068,1174.1565140597547,1156.547222700016,1758.5465361657405,1903.5041656845021
47,-15.3,1153.5760858661688,1143.7230662295283,1234.1219673710016,1201.7910235180693,1043.0038510911277,1156.5472227000137,1918.8651570254303,1903.504165684508
48,-15.2,1214.103670405955,1143.7230662295258,1304.121022430863,1201.7910235180673,1213.7139647320628,1156.5472227000114,1748.1814893702278,1903.5041656845087
49,-15.1,1002.9687876113153,1143.7230662295322,1213.9087862918425,1201.7910235180696,1043.0875391157679,1156.5472227000134,1858.3626318432684,1903.5041656845033
50,-15.0,1375.41915145672,1143.7230662295276,1214.103670405955,1201.7910235180657,1123.6856890601011,1156.5472227000153,1838.3460912542682,1903.5041656845058
