,time,n9,n9_bkg,na,na_bkg,nb,nb_bkg,b1,b1_bkg
0,-30.0,1373.9845552100896,-1939.3858781790984,1293.9595161193067,1150.4264693135028,972.5090734093824,-1492.202877585472,3191.7678567832163,3266.074130158842
1,-29.9,1253.4344102841608,-1920.6807187375023,1353.9807032675876,1151.217048951639,1103.1328974286819,-1477.6932322655657,3396.1503577546628,3266.074130158845
2,-29.8,1042.502004811533,-1902.0266814659,1424.2728184553457,1152.007628589792,892.3021395199487,-1463.222891007664,3231.2617019991085,3266.0741301588578
3,-29.7,1243.2822651800577,-1883.4237663643128,1193.030296954247,1152.7982082279173,881.6928502725107,-1448.7918538117722,3100.0885739592113,3266.074130158863
4,-29.6,1484.9895649381713,-1864.8719734327278,1475.044652712255,1153.5887878660628,1002.8883183568535,-1434.4001206778607,3312.8587252038596,3266.074130158829
5,-29.5,1273.4382833650677,-1846.3713026711825,1303.807116780982,1154.379367504201,1082.9456120648008,-1420.0476916059836,3121.0986267165595,3266.07413015886
6,-29.4,1183.170898006641,-1827.921754079623,1534.8193327046708,1155.1699471423456,1273.9492426522038,-1405.7345665960809,3252.8349010050088,3266.0741301588305
7,-29.3,1353.8720741319983,-1809.5233276580557,1102.690564978532,1155.9605267804698,1033.0371291597148,-1391.4607456481936,3342.999838891526,3266.0741301588655
8,-29.2,1404.3816708129164,-1791.176023406526,1314.284567690653,1156.7511064186192,791.8846855516016,-1377.2262287623105,2877.147800893283,3266.074130158845
9,-29.1,1253.8367404256849,-1772.8798413249774,1293.8556899560508,1157.5416860567602,1123.0547088079416,-1363.031015938435,3385.4586490407382,3266.074130158844
10,-29.0,1263.3858741426845,-1754.634781413466,1585.7722108474622,1158.3322656948985,1022.6589131742385,-1348.8751071765719,3090.458837504234,3266.0741301588573
11,-28.9,1364.2564802182617,-1736.440843671936,1444.8547118317342,1159.1228453330311,1053.0538561829155,-1334.7585024766613,3304.5861207382454,3266.0741301588555
12,-28.8,1192.9346191631244,-1718.2980281004463,1273.642617887139,1159.913424971181,1042.418410712839,-1320.6812018388089,3374.226949497343,3266.074130158838
13,-28.7,1354.089349836487,-1700.2063346989498,1344.3557125085085,1160.704004609311,1132.9229411882495,-1306.6432052629493,2928.213487894663,3266.074130158842
14,-28.6,1323.8125802310465,-1682.1657634674377,1233.6268629771353,1161.4945842474576,932.1065608274569,-1292.6445127490772,3313.3925514129282,3266.0741301588578
