,time,n1,n1_bkg,n2,n2_bkg,n9,n9_bkg,na,na_bkg,b0,b0_bkg,b1,b1_bkg
0,-30.0,1173.0264081329663,1238.0992574603883,1173.2146080259745,1238.6967215590237,1153.1134061967148,1151.4749238684456,1022.4948875255477,1118.7559619834456,3110.967923806411,2897.6973921835356,3029.93698536365,3050.3340777169783
1,-29.9,1273.9492426522038,1238.0992574603902,1223.2783860746629,1238.6967215590216,952.0373599502801,1151.4749238684492,1143.1551080983352,1118.7559619834435,2898.317365751508,2897.697392183549,3101.5870458389954,3050.334077716987
2,-29.8,1274.0514837182059,1238.099257460395,1364.3659711075247,1238.6967215590228,1113.0051138072638,1151.4749238684576,1072.5526753673591,1118.755961983446,2685.4142779554263,2897.697392183532,2877.610979192618,3050.3340777169824
3,-29.7,1394.4343010774064,1238.0992574603893,1354.1980138428937,1238.6967215590207,1223.5728326713831,1151.4749238684483,861.8961715774582,1118.755961983446,3272.3172033266414,2897.697392183547,2979.0660225442407,3050.3340777169783
4,-29.6,1475.5184389616957,1238.0992574603915,1193.4131616422799,1238.6967215590241,1072.2947106808417,1151.4749238684528,1264.0956699706871,1118.755961983445,3069.707522293078,2897.697392183549,3041.0440246505386,3050.334077716974
5,-29.5,1153.1134061967148,1238.0992574603904,1223.1802686985989,1238.6967215590253,1233.3299909756167,1151.4749238684512,1264.0956699706871,1118.7559619834472,2999.315592415111,2897.697392183524,3304.3197936814486,3050.3340777169756
6,-29.4,1243.5815147624983,1238.0992574603893,1233.0332618240695,1238.6967215590205,1132.832080200485,1151.474923868454,1132.7412337857454,1118.755961983442,3028.7174739892102,2897.6973921835524,3030.181005496564,3050.3340777169874
7,-29.3,1244.0805843165406,1238.0992574603915,1172.932330827051,1238.6967215590262,1113.094402438764,1151.4749238684517,1072.7247207907935,1118.7559619834517,3130.473295351555,2897.6973921835393,3202.4169184289576,3050.334077716964
8,-29.2,1333.9752462337576,1238.09925746039,1484.632052002226,1238.6967215590219,1092.6441989614714,1151.474923868447,1072.6386911802883,1118.7559619834421,2745.8711351611923,2897.6973921835433,3069.954705586267,3050.334077716985
9,-29.1,1173.3087306203327,1238.099257460391,962.3095429029535,1238.69672155902,1213.1298750776832,1151.4749238684537,1193.2216985861658,1118.7559619834449,3151.747054677228,2897.6973921835397,3161.880211060494,3050.3340777169856
10,-29.0,1052.7160072988158,1238.0992574603924,1052.4627628650894,1238.6967215590253,972.1192198993667,1151.4749238684574,1193.7004714615139,1118.7559619834456,2947.982694436018,2897.69739218354,3081.322753453857,3050.334077716981
11,-28.9,1052.6315789473533,1238.0992574603897,1343.9242588357813,1238.6967215590194,1082.5982357658227,1151.47492386845,1032.6228620696422,1118.7559619834449,3000.0402689968564,2897.6973921835356,2999.0741113481313,3050.334077716981
12,-28.8,1293.6480876070334,1238.099257460394,1132.832080200485,1238.6967215590241,851.583946139808,1151.4749238684508,1112.8265795119446,1118.7559619834456,2826.3362233710445,2897.697392183549,3181.6351188078484,3050.334077716989
13,-28.7,1173.1205005313968,1238.0992574603827,1152.9284382330957,1238.6967215590216,1253.3338680890993,1151.47492386845,1173.2146080259745,1118.755961983444,3049.9466510981383,2897.69739218355,2888.1956324846124,3050.3340777169647
14,-28.6,1213.227184310248,1238.0992574603927,1304.2256912395978,1238.6967215590225,1082.5982357658227,1151.4749238684567,1012.3689433273717,1118.7559619834472,2999.315592415111,2897.6973921835297,3049.4555262574795,3050.3340777169847
15,-28.5,1434.3316816786491,1238.0992574603913,1404.2689776921643,1238.6967215590262,1183.170898006641,1151.4749238684483,1072.6386911802883,1118.7559619834444,2867.953388210155,2897.697392183538,2918.3270941512283,3050.3340777169788
16,-28.4,1092.4689798945462,1238.0992574603924,1263.6899747261825,1238.6967215590207,1102.7790030877654,1151.474923868448,1143.1551080983352,1118.7559619834453,2979.0660225442407,2897.6973921835433,3273.6356493885387,3050.3340777169897
17,-28.3,1113.1837053974207,1238.0992574603945,1223.2783860746629,1238.6967215590216,991.964088896,1151.474923868455,1133.1047068968812,1118.755961983445,3100.837628865935,2897.697392183544,2776.8834513843776,3050.334077716975
18,-28.2,1052.3783751277738,1238.099257460391,1202.983398829079,1238.6967215590246,1052.294000921995,1151.4749238684524,1042.5856123185351,1118.7559619834442,3009.1986876270175,2897.6973921835356,3080.82638637183,3050.3340777169824
19,-28.1,1384.5968615804272,1238.0992574603895,1233.3299909756167,1238.696721559023,1072.3806851209533,1151.4749238684524,1032.3744612608853,1118.7559619834467,3120.0934015056523,2897.6973921835456,2929.1566847180143,3050.3340777169865
20,-28.0,1233.2310653913078,1238.099257460389,1364.0375511513887,1238.6967215590203,1032.208927103988,1151.474923868449,1203.272902294223,1118.7559619834458,2806.5586963081782,2897.6973921835433,3071.4386417191563,3050.3340777169687
21,-27.9,1384.3746238112237,1238.09925746039,1394.210515757568,1238.6967215590223,1263.4872247402652,1151.4749238684547,1142.788403705024,1118.7559619834487,2766.3212956442617,2897.6973921835365,2969.420006844722,3050.3340777169733
22,-27.8,1163.070506136183,1238.0992574603918,1062.4223228961882,1238.6967215590228,901.6951869514559,1151.4749238684503,1103.3099297893523,1118.7559619834437,2898.084044437247,2897.697392183547,3120.0934015056523,3050.334077716984
23,-27.7,1243.5815147624983,1238.0992574603938,1213.6165774006367,1238.696721559025,1042.6692332370721,1151.4749238684549,1113.1837053974207,1118.7559619834476,2968.463845116583,2897.697392183547,3171.5027889087564,3050.3340777169788
24,-27.6,1133.195611624766,1238.0992574603874,1193.2216985861658,1238.696721559022,1052.294000921995,1151.4749238684508,1062.9336970037152,1118.75596198344,2816.221435468257,2897.697392183525,2908.205365588543,3050.334077716983
25,-27.5,1233.7258520732437,1238.09925746039,1233.8248570568587,1238.6967215590184,1203.272902294223,1151.4749238684515,1163.2571199358038,1118.7559619834503,2766.543932717612,2897.6973921835465,3029.93698536365,3050.3340777169824
26,-27.4,1243.681296638031,1238.0992574603904,1062.4223228961882,1238.6967215590269,1112.558885436488,1151.4749238684492,1183.075997593727,1118.7559619834424,2674.8722899319837,2897.6973921835393,3090.7077418704885,3050.3340777169856
27,-27.3,1283.6970474967725,1238.099257460392,1163.1638055510823,1238.6967215590219,1163.070506136183,1151.4749238684574,952.3427631974522,1118.7559619834453,3160.8616871350464,2897.697392183548,3130.473295351555,3050.334077716967
28,-27.2,1153.5760858661688,1238.0992574603893,1112.915839499473,1238.6967215590219,1002.2450288646426,1151.4749238684503,1062.7631842791106,1118.7559619834435,2989.1906036755545,2897.6973921835397,3221.9089810712385,3050.3340777169947
29,-27.1,1092.9948057677882,1238.0992574603906,1173.4970211229297,1238.696721559021,1102.602141052869,1151.474923868449,901.9120535535206,1118.7559619834506,2735.7579658834497,2897.697392183548,3192.2821292622048,3050.3340777169824
30,-27.0,1283.5940633774387,1238.099257460393,1273.7448097406193,1238.6967215590234,1213.5192056965027,1151.4749238684474,1273.8470179943247,1118.7559619834465,2745.6502061751594,2897.6973921835233,2928.920828552407,3050.334077716957
31,-26.9,1213.4218496158996,1238.09925746039,1364.1470069009595,1238.6967215590223,1052.3783751277738,1151.474923868458,1113.0051138072638,1118.7559619834453,3008.9564254804845,2897.697392183557,2725.8645315737203,3050.3340777169874
32,-26.8,1142.788403705024,1238.0992574603883,1323.7063778579836,1238.6967215590244,1213.5192056965027,1151.4749238684497,1123.1448054552588,1118.7559619834444,2726.522727730005,2897.697392183539,3140.8552790528665,3050.3340777169824
33,-26.7,1283.5940633774387,1238.0992574603947,1173.0264081329663,1238.6967215590216,1505.1173991571127,1151.4749238684528,1294.0633589470754,1118.7559619834437,2787.000704296167,2897.69739218354,2887.2658497816533,3050.334077716985
34,-26.6,1314.0736282475489,1238.0992574603908,1394.3223994382388,1238.6967215590248,1032.2916875463382,1151.47492386845,1143.0634099386193,1118.7559619834476,3060.0740860041437,2897.6973921835443,3069.707522293078,3050.3340777169788
35,-26.5,1283.8000481424835,1238.0992574603927,1203.1763856581204,1238.6967215590257,1082.9456120648008,1151.4749238684524,1042.502004811533,1118.7559619834424,2989.1906036755545,2897.697392183542,3090.458837504234,3050.3340777169733
36,-26.4,1213.3245091550675,1238.099257460391,971.9633659993048,1238.696721559021,1192.9346191631244,1151.4749238684535,1233.5278897647095,1118.7559619834465,2816.901408450664,2897.6973921835374,3242.698892245674,3050.3340777169888
37,-26.3,1223.3765191929551,1238.0992574603893,1304.121022430863,1238.6967215590223,1132.7412337857454,1151.47492386845,1213.4218496158996,1118.755961983445,3099.5894050398074,2897.6973921835397,2786.327881384876,3050.3340777169733
38,-26.2,1374.6463045092216,1238.0992574603883,1274.1537411962818,1238.6967215590237,1183.075997593727,1151.474923868457,1203.1763856581204,1118.7559619834476,2786.7763938911853,2897.6973921835397,3252.8349010050088,3050.334077716975
39,-26.1,1283.8000481424835,1238.0992574603956,1163.1638055510823,1238.696721559021,1102.690564978532,1151.4749238684478,1072.3806851209533,1118.7559619834453,3161.116256594003,2897.697392183542,3010.4105837578354,3050.334077716983
40,-26.0,1294.0633589470754,1238.0992574603922,1273.642617887139,1238.6967215590196,1112.6481024838959,1151.474923868455,1052.6315789473533,1118.7559619834437,3008.9564254804845,2897.6973921835433,2654.6536883597078,3050.334077716981
41,-25.9,1334.4035316544407,1238.0992574603883,1304.2256912395978,1238.6967215590257,1102.7790030877654,1151.4749238684512,942.1480976626575,1118.7559619834487,3049.2100231457753,2897.697392183535,3030.4250649376363,3050.334077716987
42,-25.8,1173.0264081329663,1238.0992574603888,1404.832624227322,1238.6967215590228,1052.4627628650894,1151.4749238684474,1082.8587470923082,1118.7559619834403,2999.798671230076,2897.697392183535,3192.539327653186,3050.3340777169683
43,-25.7,1213.3245091550675,1238.0992574603918,1313.8627565041033,1238.6967215590232,962.0009620009483,1151.4749238684553,972.0412867020606,1118.7559619834485,2928.685010366094,2897.6973921835393,3040.309265896143,3050.3340777169833
44,-25.6,1223.4746680572653,1238.0992574603915,1333.8682178316928,1238.6967215590219,1394.8820873055497,1151.47492386845,1143.1551080983352,1118.7559619834442,2917.857286593913,2897.6973921835556,3152.508913643369,3050.3340777169865
45,-25.5,1223.4746680572653,1238.09925746039,1233.428932432144,1238.6967215590246,1092.556582402807,1151.4749238684528,1072.8107642021944,1118.755961983448,2836.6796764977666,2897.6973921835306,3150.731815344925,3050.3340777169715
46,-25.4,1183.170898006641,1238.0992574603924,1445.318773084932,1238.6967215590216,1143.0634099386193,1151.47492386845,982.2395060738345,1118.7559619834408,2847.9420348193216,2897.6973921835443,2999.315592415111,3050.3340777169947
47,-25.3,1253.5349686114666,1238.0992574603854,1283.4910957805046,1238.696721559022,962.0780886715168,1151.474923868452,962.2323791195437,1118.7559619834467,3293.1176861567737,2897.697392183541,3101.087394281067,3050.334077716966
48,-25.2,1173.4970211229297,1238.0992574603936,992.282249173084,1238.696721559024,982.0820138693892,1151.4749238684535,1022.8229914564051,1118.7559619834476,2918.5620546676446,2897.6973921835443,2948.932144366793,3050.3340777169783
49,-25.1,1253.8367404256849,1238.099257460391,1384.4857337774192,1238.6967215590237,1092.7318295739192,1151.4749238684492,1263.9942217406826,1118.7559619834442,2978.5863790049484,2897.6973921835374,3101.337199935512,3050.3340777169924
50,-25.0,1313.4412159858643,1238.0992574603904,1133.195611624766,1238.6967215590212,942.1480976626575,1151.474923868456,1073.155075923199,1118.7559619834458,2785.879513225345,2897.697392183549,2989.672042036558,3050.334077716974
51,-24.9,1304.0163704208778,1238.0992574603922,1112.8265795119446,1238.696721559024,1143.246820971543,1151.4749238684506,1223.7692091642084,1118.7559619834453,2928.449230149903,2897.6973921835342,3212.034557061396,3050.334077716988
52,-24.8,1152.9284382330957,1238.099257460391,1394.3223994382388,1238.6967215590196,1022.2489476848922,1151.4749238684503,1042.502004811533,1118.755961983447,2645.1833524429853,2897.6973921835465,3060.320528307921,3050.3340777169697
53,-24.7,1213.3245091550675,1238.0992574603863,1233.3299909756167,1238.6967215590246,1183.075997593727,1151.4749238684526,1143.4302908726015,1118.7559619834437,3120.8472596947163,2897.6973921835374,2918.3270941512283,3050.3340777169824
